Good Morning, Vietnam;37;No
Operation Nam;37;No
Germicide;36;No
Samson & Delilah;36;No
Easy Rider;36;No
People, The;36;No
Wheel of Fortune;36;No
Videodrome;36;No
Bobby Deerfield;36;No
Under Cover;36;No
Woman Times Seven;36;No
Two Mules for Sister Sara;36;No
From the Hip;36;No
Mistress;36;No
Lilies of the Field;36;Yes
Hard Ticket to Hawaii;36;No
Unnamable II, The Statement of Randolph Carter, The;36;No
Kids & Pesticides;36;No
Secret Policeman's Private Parts, The;36;No
Green Berets, The;36;No
Ikiru;36;No
Midway;36;No
Torn Curtain;35;No
Burnt Offerings;35;No
Snow Kill;35;No
Anna Karenina;35;Yes
American Friend, The;35;No
Sunshine Boys, The;35;Yes
Return of October;35;No
Au Revoir les Enfants;35;No
Final Countdown, The;35;No
Seventh Cross, The;35;No
Grim Reaper, The;35;No
Too Beautiful for You;35;No
Matt Talbot;35;No
Fighting Seabees, The;35;No
Mutiny on the Bounty;35;No
Lawless Frontier, The;35;No
Ravishing Idiot, The;34;No
Europa Fifty-One;34;No
Rabid;34;No
Voyage of the Damned;34;No
Naked Truth, The;34;No
Electric Horseman, The;34;No
Dragon Seed;34;No
Yellowbeard;34;No
Into the Homeland;34;No
Matador;34;No
Caddyshack 2;34;No
Quiller Memorandum, The;34;No
For a Few Dollars More;34;No
Manhunt, The;34;No
Steve Martin, The Funnier Side of Eastern Canada;34;No
Elena & Her Men;33;No
One Frightened Night;33;No
Fly, The;33;No
Court-Martial of Jackie Robinson, The;33;No
Hunchback;33;No
Empire Strikes Back, The;33;No
Napoleon & Samantha;33;No
Tempest;33;No
Casablanca Express;33;No
Producers, The;33;No
All New Tales from the Crypt, A Trilogy;33;No
After Dark My Sweet;33;No
Scalphunters, The;33;No
Monty Python's the Meaning of Life;33;No
Midnight Cowboy;33;Yes
Pals of the Saddle;33;No
Camille Claudel;32;No
Walpurgis Night;32;No
Intermezzo;32;No
Party, The;32;No
Moonraker;32;No
Shining, The;32;No
Jubal;32;No
My Left Foot;32;Yes
Unforgiven, The;32;No
Last Temptation of Christ, The;32;No
Terms of Endearment;32;Yes
Immaculate Collection, The;32;No
Scanners;32;No
Passenger, The;32;No
Ironweed;32;No
Apache Woman;32;No
Rachel, Rachel;32;No
Shadow of a Doubt;32;No
Freshman, The;32;No
Let It Rock;32;No
Running Man, The;31;No
Secret Beyond the Door;31;No
Bells of St. Mary's, The;31;No
Think Dirty;31;No
Night Gallery;31;No
Stacey!;31;No
Juice;31;No
Shock 'em Dead;31;No
Being There;31;Yes
My Best Girl;31;No
Roller Blade;31;No
Falling in Love;31;No
Little Prince, The;31;No
Ranger of the Cherokee Strip;31;No
North to Alaska;31;No
No Regrets for Our Youth;31;No
Cyborg;31;No
Gangbusters;31;No
A Very Private Affair;30;No
Wagon Master;30;No
Valley Girl;30;No
Winter People;30;No
John Wayne Matinee Double Feature, No. 1;30;No
Going Under;30;No
Funny Farm;30;No
Missing;30;No
Funny Girl;30;Yes
Amazon;30;No
Bright Lights, Big City;30;No
Chattahoochee;30;No
Tom Thumb;30;No
Riders of Destiny;30;No
And God Created Woman;29;No
Exorcist II, The Heretic;29;No
